event_id,event_type,zone_id,timestamp,hour_of_day,minutes_since_event_start,is_peak_hour,crowd_density,capacity_utilization,flow_rate_in,flow_rate_out,net_flow,temperature_celsius,noise_level_db,adjacent_zone_pressure,exit_proximity_score,dwell_time_minutes,anomaly_label,anomaly_code,is_anomaly
EVT-001,CONCERT,ZONE_A,2025-07-01T17:00:00,17.0,0.0,1,0.0638,0.0638,19.72,6.44,13.29,17.03,58.13,0.05,0.4,49.55,NORMAL,0,0
EVT-001,CONCERT,ZONE_B,2025-07-01T17:00:00,17.0,0.0,1,0.061,0.061,12.9,9.71,3.19,18.05,57.87,0.0569,0.3,28.25,NORMAL,0,0
EVT-001,CONCERT,ZONE_C,2025-07-01T17:00:00,17.0,0.0,1,0.0855,0.0855,17.26,23.35,-6.09,17.38,60.61,0.0555,0.5,21.98,NORMAL,0,0
EVT-001,CONCERT,ZONE_D,2025-07-01T17:00:00,17.0,0.0,1,0.0616,0.0616,13.99,23.18,-9.19,17.59,56.92,0.0678,0.4,14.62,NORMAL,0,0
EVT-001,CONCERT,ZONE_E,2025-07-01T17:00:00,17.0,0.0,1,0.0688,0.0688,6.22,6.46,-0.24,17.94,62.38,0.0558,0.3,42.58,NORMAL,0,0
EVT-001,CONCERT,ZONE_F,2025-07-01T17:00:00,17.0,0.0,1,0.0524,0.0524,11.07,10.7,0.37,18.15,57.13,0.0663,0.4,24.49,NORMAL,0,0
EVT-001,CONCERT,ENTRY_GATE_NORTH,2025-07-01T17:00:00,17.0,0.0,1,0.0426,0.0426,5.12,3.32,1.8,17.78,55.58,0.0624,0.8,25.61,NORMAL,0,0
EVT-001,CONCERT,ENTRY_GATE_SOUTH,2025-07-01T17:00:00,17.0,0.0,1,0.0695,0.0695,5.19,7.31,-2.12,17.84,59.49,0.0652,0.8,19.03,NORMAL,0,0
EVT-001,CONCERT,CONCOURSE_MAIN,2025-07-01T17:00:00,17.0,0.0,1,0.0701,0.0701,33.61,30.18,3.43,17.57,57.22,0.0658,1.0,18.59,NORMAL,0,0
EVT-001,CONCERT,ZONE_A,2025-07-01T17:00:30,17.0,0.5,1,0.0953,0.0953,28.63,19.49,9.14,17.09,58.62,0.0567,0.4,24.44,NORMAL,0,0
EVT-001,CONCERT,ZONE_B,2025-07-01T17:00:30,17.0,0.5,1,0.0849,0.0849,20.46,12.12,8.34,17.68,57.9,0.0904,0.3,31.53,NORMAL,0,0
EVT-001,CONCERT,ZONE_C,2025-07-01T17:00:30,17.0,0.5,1,0.0988,0.0988,42.21,16.52,25.69,17.5,60.44,0.0733,0.5,35.89,NORMAL,0,0
EVT-001,CONCERT,ZONE_D,2025-07-01T17:00:30,17.0,0.5,1,0.0867,0.0867,25.48,27.71,-2.24,18.18,58.28,0.0838,0.4,17.21,NORMAL,0,0
EVT-001,CONCERT,ZONE_E,2025-07-01T17:00:30,17.0,0.5,1,0.0752,0.0752,6.42,6.0,0.42,17.17,59.36,0.0696,0.3,50.12,NORMAL,0,0
EVT-001,CONCERT,ZONE_F,2025-07-01T17:00:30,17.0,0.5,1,0.0628,0.0628,9.14,16.73,-7.58,18.01,57.63,0.0852,0.4,18.76,NORMAL,0,0
EVT-001,CONCERT,ENTRY_GATE_NORTH,2025-07-01T17:00:30,17.0,0.5,1,0.055,0.055,4.59,2.18,2.41,16.95,55.48,0.0901,0.8,50.45,NORMAL,0,0
EVT-001,CONCERT,ENTRY_GATE_SOUTH,2025-07-01T17:00:30,17.0,0.5,1,0.0714,0.0714,5.13,9.75,-4.62,17.56,59.69,0.0809,0.8,14.64,NORMAL,0,0
EVT-001,CONCERT,CONCOURSE_MAIN,2025-07-01T17:00:30,17.0,0.5,1,0.0663,0.0663,13.68,34.3,-20.62,18.12,54.53,0.0859,1.0,15.47,NORMAL,0,0
EVT-001,CONCERT,ZONE_A,2025-07-01T17:01:00,17.017,1.0,1,0.0936,0.0936,33.42,26.55,6.87,17.65,59.68,0.0738,0.4,17.63,NORMAL,0,0
EVT-001,CONCERT,ZONE_B,2025-07-01T17:01:00,17.017,1.0,1,0.1167,0.1167,30.99,10.32,20.67,18.19,60.69,0.0962,0.3,50.9,NORMAL,0,0
EVT-001,CONCERT,ZONE_C,2025-07-01T17:01:00,17.017,1.0,1,0.131,0.131,22.54,16.26,6.28,17.62,59.62,0.1017,0.5,48.34,NORMAL,0,0
EVT-001,CONCERT,ZONE_D,2025-07-01T17:01:00,17.017,1.0,1,0.0767,0.0767,17.22,20.05,-2.82,17.67,55.51,0.1031,0.4,21.05,NORMAL,0,0
EVT-001,CONCERT,ZONE_E,2025-07-01T17:01:00,17.017,1.0,1,0.0781,0.0781,7.8,13.06,-5.25,19.25,59.35,0.0697,0.3,23.94,NORMAL,0,0
EVT-001,CONCERT,ZONE_F,2025-07-01T17:01:00,17.017,1.0,1,0.0331,0.0331,5.96,5.5,0.46,17.22,55.26,0.0859,0.4,30.09,NORMAL,0,0
EVT-001,CONCERT,ENTRY_GATE_NORTH,2025-07-01T17:01:00,17.017,1.0,1,0.0858,0.0858,12.66,3.9,8.76,17.33,55.51,0.1052,0.8,44.03,NORMAL,0,0
EVT-001,CONCERT,ENTRY_GATE_SOUTH,2025-07-01T17:01:00,17.017,1.0,1,0.0763,0.0763,9.71,8.74,0.97,18.27,57.44,0.0774,0.8,17.46,NORMAL,0,0
EVT-001,CONCERT,CONCOURSE_MAIN,2025-07-01T17:01:00,17.017,1.0,1,0.0507,0.0507,21.63,14.37,7.26,17.16,58.96,0.0836,1.0,28.25,NORMAL,0,0
EVT-001,CONCERT,ZONE_A,2025-07-01T17:01:30,17.017,1.5,1,0.117,0.117,29.78,17.01,12.77,17.77,61.16,0.0749,0.4,34.39,NORMAL,0,0
EVT-001,CONCERT,ZONE_B,2025-07-01T17:01:30,17.017,1.5,1,0.0924,0.0924,33.06,26.62,6.44,18.69,59.48,0.124,0.3,15.61,NORMAL,0,0
